rmse,lr_bu,lr_bi,lr_pu,lr_qi,reg_bu,reg_bi,reg_pu,reg_qi
1.002658276507183,0.01,0.01,0.005,0.005,0.02,0.02,0.05,0.05
1.0026603633713005,0.005,0.005,0.001,0.005,0.02,0.02,0.05,0.05
1.0026605427288948,0.005,0.005,0.005,0.001,0.005,0.005,0.05,0.05
1.0026618690951117,0.005,0.005,0.001,0.001,0.005,0.005,0.005,0.005
1.002673210368245,0.01,0.01,0.01,0.005,0.05,0.005,0.05,0.02
1.002676492239751,0.005,0.01,0.001,0.01,0.02,0.005,0.005,0.05
1.0026897624086935,0.005,0.01,0.005,0.001,0.05,0.05,0.05,0.05
1.0026973622375601,0.005,0.01,0.01,0.001,0.02,0.02,0.05,0.05
1.0026999553952682,0.005,0.01,0.001,0.01,0.05,0.05,0.005,0.05
1.0027078106768965,0.005,0.005,0.001,0.001,0.005,0.02,0.05,0.005
1.0027169273087209,0.005,0.005,0.001,0.001,0.005,0.005,0.05,0.05
1.0027169646087202,0.005,0.01,0.001,0.01,0.05,0.02,0.005,0.05
1.00271867602604,0.005,0.005,0.001,0.001,0.02,0.02,0.05,0.02
1.0027364635305815,0.005,0.01,0.001,0.005,0.05,0.05,0.005,0.05
1.0027387995269874,0.01,0.01,0.005,0.01,0.005,0.05,0.05,0.05
1.0027395579629892,0.005,0.01,0.001,0.01,0.005,0.005,0.05,0.05
1.002741329950897,0.005,0.005,0.001,0.001,0.02,0.02,0.02,0.005
1.0027440059556063,0.005,0.01,0.001,0.005,0.02,0.02,0.05,0.05
1.0027505580933276,0.005,0.005,0.001,0.001,0.005,0.02,0.02,0.02
1.0027535759548345,0.005,0.005,0.001,0.001,0.02,0.005,0.02,0.05
1.0027552019619999,0.005,0.01,0.001,0.005,0.05,0.05,0.005,0.02
1.002755821953059,0.01,0.01,0.01,0.005,0.05,0.05,0.02,0.05
1.0027569061971116,0.005,0.005,0.001,0.005,0.02,0.005,0.02,0.05
1.0027629383741212,0.005,0.01,0.005,0.01,0.05,0.005,0.05,0.05
1.002769116750942,0.005,0.005,0.001,0.001,0.005,0.05,0.02,0.02
1.002771246293336,0.005,0.005,0.001,0.001,0.005,0.02,0.005,0.005
1.0027764774742163,0.005,0.01,0.005,0.001,0.02,0.05,0.05,0.05
1.0027828385626238,0.005,0.01,0.005,0.005,0.02,0.02,0.05,0.05
1.0027914941616038,0.01,0.01,0.005,0.01,0.005,0.02,0.05,0.05
1.0028107884528428,0.005,0.005,0.001,0.001,0.005,0.005,0.005,0.02
1.002821995422389,0.005,0.01,0.005,0.005,0.05,0.02,0.05,0.05
1.0028223383647021,0.005,0.01,0.005,0.001,0.02,0.02,0.05,0.05
1.002844958416001,0.005,0.005,0.001,0.001,0.05,0.005,0.005,0.05
1.00284685326411,0.005,0.005,0.005,0.001,0.02,0.05,0.05,0.05
1.0028527897436,0.005,0.005,0.001,0.001,0.05,0.005,0.005,0.02
1.0028625461344616,0.005,0.005,0.005,0.001,0.02,0.005,0.05,0.02
1.0028704109228188,0.005,0.005,0.005,0.001,0.02,0.02,0.05,0.005
1.0028733996353387,0.01,0.01,0.001,0.005,0.05,0.05,0.05,0.05
1.0028758351053204,0.005,0.01,0.005,0.005,0.02,0.05,0.05,0.05
1.002878532321509,0.01,0.01,0.01,0.001,0.005,0.05,0.05,0.02
1.0028785581139268,0.005,0.005,0.001,0.001,0.05,0.005,0.05,0.05
1.0028787949514468,0.005,0.005,0.005,0.001,0.05,0.005,0.05,0.005
1.0028934934999234,0.005,0.005,0.005,0.001,0.02,0.05,0.05,0.005
1.0029036346322546,0.005,0.005,0.001,0.001,0.005,0.05,0.02,0.005
1.0029201435998323,0.005,0.005,0.005,0.001,0.005,0.005,0.05,0.005
1.0029250051512992,0.005,0.01,0.005,0.01,0.02,0.05,0.05,0.05
1.0029266252735927,0.01,0.01,0.005,0.01,0.05,0.005,0.05,0.05
1.0029287201555501,0.005,0.005,0.001,0.001,0.02,0.02,0.005,0.02
1.0029369981961047,0.005,0.005,0.001,0.001,0.02,0.05,0.05,0.005
1.002939529592664,0.005,0.01,0.001,0.01,0.005,0.02,0.02,0.05
1.0029511170206131,0.01,0.01,0.001,0.01,0.05,0.005,0.05,0.02
1.0029899916290947,0.01,0.01,0.01,0.005,0.02,0.05,0.05,0.05
1.0029944839988754,0.005,0.005,0.001,0.001,0.05,0.005,0.05,0.005
1.0030130830807302,0.005,0.01,0.005,0.001,0.05,0.05,0.05,0.005
1.0030147581078632,0.01,0.01,0.01,0.001,0.005,0.005,0.05,0.05
1.003039498226811,0.005,0.005,0.001,0.001,0.02,0.005,0.005,0.005
1.0030488338857573,0.01,0.01,0.01,0.001,0.02,0.02,0.05,0.05
1.0030525025105446,0.005,0.005,0.005,0.001,0.02,0.05,0.005,0.05
1.0030540328646942,0.005,0.005,0.001,0.001,0.005,0.005,0.02,0.005
1.0030623578912186,0.01,0.01,0.01,0.001,0.02,0.005,0.05,0.05
1.0030655991494168,0.01,0.01,0.001,0.01,0.05,0.005,0.05,0.05
1.0030721251349,0.005,0.01,0.001,0.005,0.05,0.02,0.005,0.05
1.0030743236810815,0.005,0.01,0.005,0.001,0.005,0.05,0.05,0.005
1.0030760907555036,0.005,0.005,0.001,0.005,0.02,0.02,0.02,0.05
1.0030793317310758,0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.05
1.0030856466654705,0.005,0.01,0.005,0.001,0.05,0.05,0.05,0.02
1.0030955642318433,0.01,0.01,0.001,0.01,0.02,0.05,0.005,0.05
1.0031024086935285,0.005,0.01,0.001,0.005,0.005,0.005,0.005,0.05
1.0031038654104965,0.005,0.01,0.005,0.001,0.05,0.005,0.05,0.005
1.0031052973400125,0.01,0.01,0.01,0.005,0.05,0.02,0.05,0.05
1.0031127088304754,0.01,0.01,0.005,0.001,0.05,0.02,0.05,0.05
1.0031382937074071,0.005,0.005,0.001,0.001,0.005,0.005,0.005,0.05
1.0031516064481918,0.005,0.005,0.005,0.001,0.02,0.005,0.05,0.005
1.00315908466825,0.005,0.005,0.001,0.001,0.005,0.005,0.02,0.05
1.0031595973105945,0.01,0.01,0.001,0.005,0.05,0.05,0.02,0.05
1.003165149787557,0.005,0.005,0.001,0.001,0.005,0.02,0.005,0.02
1.0031893135553558,0.005,0.005,0.005,0.001,0.05,0.02,0.05,0.005
1.0031903545312966,0.01,0.005,0.001,0.005,0.02,0.05,0.005,0.05
1.0031973677363162,0.01,0.01,0.005,0.005,0.005,0.05,0.05,0.05
1.003200051431173,0.01,0.01,0.001,0.01,0.02,0.02,0.05,0.05
1.0032019602291053,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.05
1.003206142360265,0.005,0.005,0.001,0.005,0.02,0.005,0.02,0.02
1.0032148145337334,0.005,0.005,0.005,0.001,0.02,0.02,0.02,0.05
1.0032213758050028,0.005,0.005,0.001,0.001,0.05,0.005,0.02,0.02
1.003236803591734,0.01,0.01,0.001,0.01,0.05,0.02,0.02,0.05
1.0032415391241256,0.005,0.005,0.001,0.005,0.05,0.005,0.05,0.02
1.0032416022059403,0.005,0.005,0.005,0.001,0.02,0.005,0.02,0.02
1.0032524694719818,0.01,0.01,0.005,0.01,0.05,0.02,0.02,0.05
1.0032544901248932,0.005,0.005,0.001,0.005,0.02,0.005,0.05,0.05
1.0032551680290394,0.01,0.01,0.001,0.01,0.05,0.005,0.005,0.05
1.0032720724725672,0.005,0.005,0.001,0.005,0.005,0.005,0.005,0.05
1.003275882142142,0.01,0.01,0.005,0.005,0.02,0.05,0.05,0.05
1.0032779567271557,0.01,0.01,0.01,0.01,0.005,0.05,0.05,0.05
1.0032792111658722,0.005,0.005,0.001,0.001,0.005,0.005,0.02,0.02
1.0032797430288036,0.005,0.01,0.001,0.01,0.05,0.005,0.02,0.05
1.003287370155686,0.01,0.01,0.005,0.005,0.005,0.05,0.02,0.05
1.0032878208614824,0.01,0.01,0.01,0.01,0.005,0.005,0.05,0.05
1.003289985453618,0.005,0.01,0.01,0.005,0.05,0.005,0.05,0.05
1.0032916385198063,0.005,0.005,0.001,0.001,0.005,0.02,0.02,0.005
1.0033066912295288,0.005,0.005,0.005,0.001,0.005,0.02,0.05,0.05
1.0033253285078647,0.005,0.01,0.001,0.005,0.02,0.05,0.005,0.05
1.00332752474692,0.005,0.005,0.001,0.005,0.05,0.005,0.005,0.05
1.003343969147239,0.005,0.005,0.005,0.001,0.05,0.005,0.02,0.005
1.003352248616789,0.005,0.01,0.005,0.005,0.005,0.05,0.05,0.05
1.0033622114329512,0.005,0.005,0.001,0.005,0.005,0.02,0.005,0.05
1.003362551839134,0.005,0.01,0.01,0.001,0.05,0.005,0.05,0.02
1.003365627707711,0.01,0.01,0.01,0.01,0.05,0.005,0.05,0.05
1.0033661334256923,0.01,0.01,0.005,0.005,0.05,0.05,0.02,0.05
1.0033669511647072,0.005,0.01,0.005,0.005,0.05,0.005,0.05,0.05
1.0033678796675514,0.005,0.005,0.001,0.001,0.05,0.005,0.02,0.005
1.003382233649476,0.005,0.005,0.001,0.005,0.02,0.02,0.005,0.05
1.0033918951852046,0.005,0.01,0.005,0.001,0.005,0.02,0.05,0.05
1.0033983524184167,0.005,0.01,0.001,0.01,0.02,0.02,0.05,0.05
1.0034028352195266,0.005,0.005,0.001,0.001,0.05,0.02,0.005,0.005
1.003414832271596,0.005,0.005,0.001,0.001,0.05,0.02,0.005,0.02
1.0034162445893078,0.01,0.01,0.001,0.01,0.005,0.05,0.005,0.05
1.0034369567626806,0.005,0.01,0.001,0.005,0.05,0.05,0.02,0.05
1.0034462392663996,0.01,0.01,0.001,0.005,0.02,0.02,0.05,0.05
1.0034511732233367,0.01,0.01,0.001,0.01,0.005,0.02,0.02,0.05
1.003463641351567,0.005,0.005,0.005,0.001,0.005,0.05,0.05,0.02
1.0034687960181552,0.01,0.01,0.01,0.005,0.005,0.05,0.05,0.05
1.0034821645115766,0.005,0.01,0.005,0.005,0.05,0.05,0.05,0.02
1.0034860658820466,0.005,0.01,0.005,0.001,0.005,0.005,0.05,0.005
1.0034903565664128,0.005,0.01,0.01,0.001,0.05,0.005,0.05,0.005
1.0034976175190198,0.005,0.01,0.001,0.005,0.005,0.02,0.02,0.05
1.0034996892820311,0.01,0.01,0.001,0.01,0.02,0.02,0.02,0.05
1.0035017912245414,0.01,0.01,0.005,0.01,0.02,0.02,0.05,0.05
1.0035045933792162,0.005,0.005,0.001,0.005,0.02,0.005,0.005,0.05
1.0035181499381696,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05
1.0035224334972674,0.01,0.01,0.005,0.005,0.02,0.005,0.05,0.02
1.0035384406659236,0.005,0.005,0.005,0.001,0.005,0.02,0.05,0.005
1.0035425934315496,0.005,0.005,0.001,0.01,0.005,0.02,0.05,0.05
1.0035439185545716,0.01,0.01,0.005,0.01,0.005,0.02,0.02,0.05
1.0035588484996871,0.005,0.01,0.001,0.01,0.005,0.05,0.005,0.05
1.003571322345213,0.01,0.01,0.01,0.001,0.02,0.005,0.05,0.02
1.0035799746373086,0.01,0.01,0.001,0.005,0.05,0.005,0.02,0.05
1.0035823996342232,0.005,0.01,0.005,0.001,0.005,0.02,0.05,0.02
1.0035893324131508,0.005,0.005,0.005,0.001,0.02,0.05,0.02,0.05
1.0035934127306712,0.005,0.01,0.01,0.001,0.02,0.005,0.05,0.05
1.0036144146053332,0.005,0.005,0.001,0.005,0.05,0.05,0.005,0.05
1.003620067295834,0.005,0.005,0.005,0.005,0.005,0.05,0.05,0.05
1.0036223404814595,0.01,0.01,0.001,0.005,0.02,0.005,0.05,0.05
1.0036264529090917,0.01,0.01,0.005,0.001,0.05,0.05,0.05,0.05
1.0036288382587966,0.005,0.005,0.005,0.001,0.05,0.05,0.02,0.05
1.0036332191195614,0.005,0.005,0.001,0.005,0.05,0.02,0.05,0.05
1.0036485585020458,0.01,0.005,0.001,0.005,0.005,0.005,0.05,0.05
1.0036502722930887,0.005,0.01,0.005,0.01,0.05,0.05,0.05,0.05
1.0036574908272176,0.01,0.01,0.005,0.001,0.005,0.05,0.05,0.02
1.0036624764895465,0.01,0.01,0.005,0.01,0.05,0.05,0.02,0.05
1.0036693230458573,0.01,0.01,0.001,0.01,0.005,0.005,0.05,0.05
1.0036726597041377,0.005,0.01,0.005,0.01,0.005,0.005,0.05,0.05
1.003682746029767,0.005,0.005,0.005,0.001,0.05,0.05,0.05,0.005
1.003687501534578,0.01,0.01,0.005,0.01,0.05,0.005,0.02,0.05
1.0036911421432346,0.01,0.01,0.01,0.001,0.02,0.05,0.02,0.05
1.0036936601152706,0.005,0.005,0.005,0.001,0.005,0.005,0.02,0.05
1.0037188355943378,0.005,0.005,0.001,0.001,0.005,0.02,0.005,0.05
1.003721330639867,0.005,0.01,0.001,0.01,0.02,0.02,0.005,0.05
1.0037254902913555,0.01,0.01,0.005,0.001,0.02,0.005,0.05,0.05
1.0037264169365927,0.01,0.01,0.005,0.005,0.02,0.005,0.05,0.005
1.0037302234123335,0.005,0.005,0.001,0.005,0.05,0.005,0.02,0.05
1.0037467389071453,0.005,0.01,0.01,0.005,0.05,0.05,0.05,0.05
1.0037469305047562,0.005,0.005,0.001,0.005,0.05,0.005,0.005,0.005
1.0037491124506883,0.005,0.01,0.01,0.001,0.05,0.02,0.05,0.05
1.003754773531555,0.005,0.01,0.005,0.001,0.05,0.005,0.05,0.02
1.0037574617868839,0.01,0.01,0.01,0.001,0.005,0.005,0.05,0.02
1.003765897622793,0.005,0.01,0.001,0.01,0.005,0.02,0.05,0.05
1.003768616584863,0.005,0.005,0.001,0.001,0.005,0.05,0.005,0.005
1.0037713369925905,0.005,0.005,0.001,0.001,0.05,0.05,0.005,0.05
1.003780473257261,0.01,0.01,0.001,0.01,0.005,0.05,0.05,0.05
1.0037824552047423,0.005,0.01,0.01,0.005,0.005,0.02,0.05,0.05
1.0037961777984936,0.005,0.005,0.01,0.001,0.005,0.005,0.05,0.05
1.0037994706645743,0.005,0.01,0.005,0.001,0.05,0.02,0.05,0.05
1.00380254124376,0.005,0.01,0.001,0.01,0.005,0.05,0.02,0.05
1.0038376054717497,0.005,0.005,0.001,0.001,0.02,0.05,0.005,0.005
1.003841183472579,0.01,0.005,0.005,0.001,0.05,0.02,0.05,0.02
1.003846251315016,0.005,0.005,0.001,0.001,0.05,0.02,0.02,0.02
1.0038466636938763,0.005,0.01,0.01,0.001,0.02,0.005,0.05,0.005
1.0038711737860384,0.005,0.01,0.01,0.001,0.02,0.05,0.05,0.02
1.0038737050654272,0.01,0.01,0.005,0.005,0.05,0.005,0.02,0.05
1.0038766819604135,0.01,0.01,0.001,0.005,0.02,0.005,0.02,0.05
1.0038770291651202,0.01,0.005,0.001,0.005,0.05,0.005,0.05,0.05
1.0038780975904271,0.005,0.01,0.005,0.01,0.005,0.05,0.05,0.05
1.0038782938736102,0.01,0.01,0.001,0.01,0.05,0.02,0.005,0.05
1.003884900275705,0.01,0.01,0.01,0.001,0.05,0.05,0.05,0.005
1.0038869235972558,0.01,0.01,0.005,0.005,0.005,0.005,0.02,0.05
1.0038877254869332,0.005,0.005,0.005,0.001,0.02,0.05,0.02,0.005
1.0038887429625523,0.005,0.005,0.001,0.001,0.05,0.02,0.02,0.005
1.003895740349894,0.01,0.005,0.001,0.005,0.05,0.05,0.02,0.05
1.0038960754999338,0.005,0.01,0.005,0.001,0.05,0.05,0.02,0.05
1.0038974089388875,0.01,0.01,0.001,0.005,0.02,0.05,0.05,0.05
1.0038982593427805,0.01,0.01,0.001,0.01,0.02,0.05,0.05,0.05
1.0039023655004125,0.005,0.01,0.005,0.005,0.05,0.005,0.02,0.05
1.0039119517831085,0.005,0.005,0.001,0.001,0.05,0.05,0.005,0.005
1.0039251536274425,0.005,0.005,0.001,0.005,0.05,0.005,0.02,0.02
1.003925779790623,0.005,0.01,0.005,0.005,0.02,0.05,0.02,0.05
1.0039261167821312,0.005,0.01,0.001,0.005,0.05,0.05,0.05,0.02
1.003929631346981,0.01,0.01,0.01,0.01,0.05,0.02,0.05,0.05
1.0039301853307048,0.005,0.005,0.005,0.001,0.005,0.005,0.05,0.02
1.0039346481397236,0.005,0.01,0.01,0.001,0.005,0.02,0.05,0.05
1.0039459153898593,0.01,0.01,0.001,0.01,0.005,0.05,0.02,0.05
1.003949667922345,0.01,0.005,0.005,0.001,0.02,0.005,0.05,0.05
1.0039567622970618,0.005,0.01,0.01,0.001,0.005,0.005,0.05,0.02
1.0039609998203853,0.005,0.01,0.001,0.01,0.005,0.02,0.005,0.05
1.0039655499531817,0.01,0.01,0.001,0.01,0.02,0.005,0.05,0.05
1.0039659960207319,0.005,0.005,0.005,0.001,0.05,0.02,0.02,0.02
1.0039676756595322,0.005,0.01,0.001,0.01,0.05,0.005,0.05,0.05
1.0039786045266192,0.005,0.01,0.001,0.005,0.005,0.05,0.005,0.05
1.0039939463972427,0.005,0.01,0.005,0.001,0.02,0.05,0.05,0.005
1.0039962361208303,0.005,0.01,0.01,0.001,0.005,0.02,0.05,0.005
1.0040047426610255,0.005,0.005,0.005,0.005,0.005,0.02,0.05,0.05
1.0040066604003242,0.01,0.01,0.01,0.001,0.05,0.005,0.02,0.02
1.0040097444519678,0.01,0.005,0.001,0.001,0.05,0.005,0.05,0.02
1.0040144533622195,0.005,0.01,0.001,0.005,0.005,0.005,0.05,0.02
1.0040184255047016,0.005,0.005,0.001,0.005,0.005,0.05,0.005,0.05
1.0040197691710733,0.005,0.01,0.005,0.001,0.005,0.05,0.02,0.005
1.0040274217620573,0.005,0.01,0.001,0.005,0.05,0.02,0.02,0.05
1.0040324437046508,0.01,0.01,0.005,0.005,0.005,0.02,0.05,0.05
1.0040379627290341,0.005,0.01,0.01,0.001,0.05,0.005,0.05,0.05
1.0040483208715667,0.005,0.01,0.005,0.005,0.05,0.005,0.005,0.05
1.0040484867929917,0.01,0.01,0.01,0.001,0.05,0.05,0.05,0.05
1.0040497435943412,0.005,0.01,0.001,0.005,0.005,0.02,0.05,0.05
1.004055661098518,0.005,0.01,0.01,0.001,0.005,0.02,0.05,0.02
1.0040690235551921,0.005,0.005,0.001,0.005,0.02,0.02,0.05,0.02
1.004074341876035,0.005,0.01,0.001,0.005,0.05,0.02,0.05,0.05
1.0040758495198199,0.005,0.01,0.01,0.005,0.02,0.02,0.05,0.05
1.0040773632457887,0.005,0.01,0.001,0.001,0.05,0.05,0.05,0.05
1.0040824911033552,0.005,0.01,0.001,0.005,0.005,0.005,0.02,0.05
1.0041041860331164,0.01,0.01,0.001,0.01,0.05,0.05,0.02,0.05
1.0041105290892574,0.01,0.01,0.005,0.001,0.005,0.05,0.05,0.05
1.0041241837756105,0.01,0.01,0.01,0.001,0.05,0.02,0.05,0.02
1.0041284922144875,0.005,0.005,0.001,0.005,0.02,0.05,0.05,0.02
1.004133723633474,0.005,0.01,0.001,0.005,0.05,0.02,0.02,0.02
1.0041407124541122,0.005,0.01,0.005,0.001,0.005,0.05,0.05,0.02
1.0041417278316165,0.005,0.005,0.005,0.005,0.005,0.005,0.05,0.05
