rmse,mae,fcp,k,min_k
1.1100538294226932,0.8432284312259046,0.5664665651595595,35,3
1.1088528151632533,0.8421806476360417,0.5517619257542569,35,5
1.1092931129107642,0.8426929045854918,0.5169187531612218,35,7
1.1100070379475142,0.8431760583040545,0.5664408613161658,40,3
1.1088059730054223,0.8421282747141915,0.5516539443796817,40,5
1.109246289346186,0.8426405316636415,0.5168099345593922,40,7
1.109983692954041,0.8431377598746953,0.5669397301096758,45,3
1.1087826027239864,0.8420899762848324,0.5524196538762973,45,5
1.1092229283418005,0.8426022332342824,0.5174375003134032,45,7
1.1099693822578196,0.843135469719269,0.5670221936565567,50,3
1.1087682765254843,0.8420876861294061,0.5523975325108705,50,5
1.1092086078304089,0.8425999430788561,0.5174212834288667,50,7
