rmse,mae,fcp,k,min_k
1.107610510367799,0.8552879314725491,0.6363657890602298,35,3
1.10637867165139,0.8514354131578811,0.6748697021078893,35,5
1.1078129211644139,0.8506811681481825,0.6957744540921184,35,7
1.1076425856750902,0.8553194382965438,0.6370652188341452,40,3
1.1064107826701968,0.8514669199818757,0.6756936361067382,40,5
1.107844990611329,0.8507126749721772,0.696581563038217,40,7
1.107636721574942,0.8552594591852061,0.6377023358031647,45,3
1.1064049120413213,0.8514069408705379,0.6763596267899987,45,5
1.1078391275825668,0.8506526958608394,0.6971378717580302,45,7
1.107664668415731,0.8552693420907013,0.6385851351803267,50,3
1.1064328899957778,0.8514168237760331,0.6771810844313461,50,5
1.1078670693175006,0.8506625787663347,0.6979038830367895,50,7
