rmse,mae,fcp,k,min_k
1.104290462217497,0.8580274374102703,0.5869513735256452,35,3
1.102765626865644,0.8536291749932663,0.5657280796492458,35,5
1.1037584071139348,0.8524899779846419,0.5516854311409746,35,7
1.1042974449210496,0.8580050272465037,0.5869198839008251,40,3
1.1027726192243816,0.8536067648294996,0.5654391850942895,40,5
1.1037653931834048,0.8524675678208752,0.5510481265440926,40,7
1.1043492655990417,0.8580198473570481,0.5869903621428489,45,3
1.1028245115524895,0.853621584940044,0.5658009959464391,45,5
1.103817238839519,0.8524823879314196,0.5514572289763026,45,7
1.1043503408063309,0.8580270507984211,0.5869862876656274,50,3
1.102825588246348,0.8536287883814172,0.5659163250687539,50,5
1.1038183145650453,0.8524895913727927,0.5516854311409746,50,7
